sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
government,Darwin High School,The Gardens,0820,,darwin.high@education.nt.gov.au,https://darwinhigh.nt.edu.au/newsletter-success/,http://www.darwinhigh.nt.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.43893,130.83398,true
government,Northern Territory School of Distance Education,The Gardens,0820,,ntsde.it@education.nt.gov.au,https://ntsde.nt.edu.au/contact/,http://www.ntsde.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.4396483748962,130.833994695587,true
government,Centralian Senior College,Alice Springs,0870,,admin.centraliansc@ntschools.net,http://centralianseniorcollege.com.au/contact-us,http://centralianseniorcollege.com.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.6979,133.8953,true
government,Woolaning School,Litchfield Park,0822,,,,https://web.ntschools.net/w/tegs/Pages/Woolaning.aspx,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-13.098819,130.654431,true
independent,Araluen Christian College,Alice Springs,0870,,admin.acc@ntschools.net,http://acc.nt.edu.au/contact-us/,http://www.acc.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.70771,133.85232,true
catholic,Holy Family Catholic Primary School,Karama,0812,,admin.holyfamily@nt.catholic.edu.au,http://www.holyfamilynt.catholic.edu.au/apps/search,http://www.holyfamilynt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.39367,130.91166,true
catholic,Holy Spirit Catholic Primary School,Wanguri,0810,,col.hs@nt.catholic.edu.au,http://www.holyspiritnt.catholic.edu.au/search-results,http://www.holyspiritnt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.373488,130.88543,true
catholic,O'Loughlin Catholic College,Karama,0812,,secretary.oloughlin@nt.catholic.edu.au,http://www.oloughlin.nt.edu.au/search/,http://www.oloughlin.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.39337,130.91045,true
catholic,Our Lady of the Sacred Heart Catholic College,Alice Springs,0870,,admin.olshalice@nt.catholic.edu.au,http://www.olshalice.catholic.edu.au/search/,http://www.olshalice.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.707543,133.876955,true
catholic,Sacred Heart Catholic Primary School,Woodroffe,0830,,admin.shps@nt.catholic.edu.au,https://shpsnt.catholic.edu.au/contact-us/,https://www.shpsnt.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.49588,130.97937,true
catholic,St Francis of Assisi Catholic Primary School,Humpty Doo,0836,,admin.sfas@nt.catholic.edu.au,https://www.sfasnt.catholic.edu.au/wp-admin/admin-post.php?action=mailpoet_subscription_form,http://www.sfasnt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.581199,131.099073,true
catholic,St John's Catholic College,The Gardens,0820,,,http://www.stjohnsnt.catholic.edu.au/search/,http://www.stjohnsnt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.440794,130.837954,true
catholic,St Joseph's Catholic College,Katherine,0850,,admin.stjosephs@nt.catholic.edu.au,https://www.stjoeys.college/site-search,https://www.stjoeys.college/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-14.46194,132.27593,true
catholic,St Mary's Catholic Primary School,Darwin,0800,,admin.stmarys@nt.catholic.edu.au,http://www.stmarysnt.catholic.edu.au/outside-school-hours-care/oshc-contact-and-service-details/,http://www.stmarysnt.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.45935,130.83883,true
catholic,St Paul's Catholic Primary School,Rapid Creek,0810,,,http://www.stpaulsnt.catholic.edu.au/site-search,http://www.stpaulsnt.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.38695,130.85821,true
