sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked,recovery_checked
catholic,Corpus Christi Catholic School,Bellerive,7018,,office.ccs@catholic.tas.edu.au,mailto:office.ccs@catholic.tas.edu.au?subject=General%20Enquiry,http://www.corpuschristi.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.871256,147.371473,true,false
independent,Fahan School,Sandy Bay,7005,,,http://www.fahan.tas.edu.au/contact,http://www.fahan.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.91615827,147.35276438,true,true
independent,Geneva Christian College,Latrobe,7307,,office@geneva.tas.edu.au,https://www.geneva.tas.edu.au/,http://www.geneva.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.226741,146.438726,true,false
catholic,Holy Rosary Catholic School,Claremont,7011,,,http://www.holyrosary.tas.edu.au/site-search,http://www.holyrosary.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.789375,147.248306,true,true
catholic,Immaculate Heart of Mary Catholic School,Lenah Valley,7008,,ihms@catholic.tas.edu.au,,http://www.ihms.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.865543,147.290159,true,true
independent,John Calvin School,Launceston,7250,,admin@jcs.tas.edu.au,http://www.jcs.tas.edu.au/contact,http://www.jcs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.447919,147.144799,true,false
catholic,Larmenier Catholic School,St Leonards,7250,,larmenier@catholic.tas.edu.au,https://www.larmenier.tas.edu.au/site-search,https://www.larmenier.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.460784,147.194752,true,false
independent,Launceston Church Grammar School,Mowbray,7248,,junior@lcgs.tas.edu.au,https://www.lcgs.tas.edu.au/search-results,http://www.lcgs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.408156,147.128813,true,false
catholic,St James Catholic College,Cygnet,7112,,stjames@catholic.tas.edu.au,,http://www.sjcc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.161812,147.075798,true,true
catholic,Our Lady of Lourdes Catholic School,Devonport,7310,,,http://www.ololshills.catholic.edu.au/contact-us,http://www.ololshills.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.18021,146.355196,true,true
catholic,Our Lady of Mercy Catholic School,Deloraine,7304,,,http://www.olom.tas.edu.au/site-search,http://www.olom.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.525172,146.64995,true,true
catholic,Sacred Heart Catholic School,Ulverstone,7315,,shu@catholic.tas.edu.au,http://www.shu.tas.edu.au/site-search,http://www.shu.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.155798,146.186851,true,false
catholic,Sacred Heart Catholic School,Geeveston,7116,,shg@catholic.tas.edu.au,http://www.shg.tas.edu.au/site-search,http://www.shg.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.165474,146.943967,true,false
catholic,St Anthony's Catholic School,Riverside,7250,,stanthonys@catholic.tas.edu.au,,http://www.stanthonys.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.4062,147.095,true,true
catholic,St Peter Chanel Catholic School,Smithton,7330,,spc@catholic.tas.edu.au,http://stpeterchanel.tas.edu.au/site-search,http://stpeterchanel.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.845638,145.131883,true,false
catholic,St Brigid's Catholic School,New Norfolk,7140,,,http://www.stbrigidsnn.tas.edu.au/site-search,http://www.stbrigidsnn.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.78063,147.056171,true,true
catholic,St Brigid's Catholic School,Wynyard,7325,,,http://www.sbw.tas.edu.au/site-search,http://www.sbw.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.988286,145.726855,true,true
catholic,St Cuthbert's Catholic School,Lindisfarne,7015,,stcuthberts@catholic.tas.edu.au,http://www.stcuthberts.tas.edu.au,http://www.stcuthberts.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.843192,147.355348,true,false
catholic,St John's Catholic School,Richmond,7025,,stjohns@catholic.tas.edu.au,http://www.stjohns.tas.edu.au/site-search,http://www.stjohns.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.733415,147.441563,true,false
catholic,St Joseph's Catholic School,Rosebery,7470,,,http://www.stjosephsr.tas.edu.au/site-search,http://www.stjosephsr.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.780321,145.543953,true,true
catholic,St Joseph's Catholic School,Queenstown,7467,,stjosephsq@catholic.tas.edu.au,http://www.stjosephsq.tas.edu.au/site-search,http://www.stjosephsq.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.081342,145.559515,true,false
catholic,St Mary's College,Hobart,7000,,stmarys@smc.tas.edu.au,,http://www.smc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.881808,147.319687,true,true
catholic,St Patrick's Catholic School,Latrobe,7307,,,http://www.stpatslatrobe.tas.edu.au/site-search,http://www.stpatslatrobe.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.235575,146.418418,true,true
catholic,St Therese's Catholic School,Moonah,7009,,sttherese@catholic.tas.edu.au,http://www.sttherese.tas.edu.au/site-search,http://www.sttherese.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.846795,147.290228,true,false
independent,Hilliard Christian School,West Moonah,7009,,info@hilliard.tas.edu.au,https://hilliard.tas.edu.au/search,https://hilliard.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.853786,147.28761,true,false
catholic,Star of the Sea Catholic College,George Town,7253,,,,http://www.starsea.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.107781,146.829593,true,true
catholic,Stella Maris Catholic School,Burnie,7320,,stellamaris@catholic.tas.edu.au,http://stellamaris.tas.edu.au/site-search,http://stellamaris.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.051103,145.887728,true,false
independent,The Friends' School,North Hobart,7000,,enquiries@friends.tas.edu.au,,http://www.friends.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.869285,147.313375,true,true
independent,The Hutchins School,Sandy Bay,7005,,info@hutchins.tas.edu.au,http://www.hutchins.tas.edu.au/search/,http://www.hutchins.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.905952,147.330242,true,false
independent,The Cottage School,Bellerive,7018,,admin@cottageschool.tas.edu.au,https://cottageschool.tas.edu.au/contact/book-a-tour,http://www.cottageschool.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.875405,147.367494,true,false
independent,Launceston Christian School,Riverside,7250,,office@lcs.tas.edu.au,,http://www.lcs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.401842,147.090571,true,true
independent,Leighland Christian School,Ulverstone,7315,,,https://www.leighland.tas.edu.au,http://www.leighland.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.153547,146.195067,true,true
independent,North West Christian School,Penguin,7316,,,https://northwestchristianschool.com.au/search,https://northwestchristianschool.com.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.123571,146.080384,true,true
independent,St Michael's Collegiate School,Hobart,7000,,collegiate@collegiate.tas.edu.au,https://collegiate.tas.edu.au/,http://www.collegiate.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.888185,147.323435,true,false
independent,Scotch Oakburn College,Newstead,7250,,juniorschool@soc.tas.edu.au,,http://www.soc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.449213,147.168873,true,true
catholic,John Paul II Catholic School,Clarendon Vale,7019,,,,http://www.johnpaul.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.8945,147.447,true,true
independent,The Launceston Preparatory School,Launceston,7250,,admin@lps.tas.edu.au,,http://www.lps.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.4374,147.158,true,false
independent,Eastside Lutheran College,Warrane,7018,,admin@elc.tas.edu.au,http://www.elc.tas.edu.au/contact,http://www.elc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.851645,147.383845,true,false
catholic,St Thomas More's Catholic School,Newstead,7250,,stm@catholic.tas.edu.au,,http://www.stm.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.44512,147.157534,true,true
catholic,St Paul's Catholic School,Bridgewater,7030,,stpauls@catholic.tas.edu.au,,http://www.stpauls.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.737339,147.247605,true,true
independent,Circular Head Christian School,Smithton,7330,,admin@chcs.tas.edu.au,https://www.chcs.tas.edu.au/contact/,http://www.chcs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.8497,145.118,true,false
independent,Southern Christian College,Kingston,7050,,admin@scc.tas.edu.au,https://scc.tas.edu.au/contact,http://www.scc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.990905,147.307777,true,false
government,Brooks High School,Rocherlea,7248,,brooks.high.admin.staff@decyp.tas.gov.au,https://brookshigh.education.tas.edu.au/site-search,https://brookshigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.37813391,147.12135989,true,false
government,Flinders Island District High School,Whitemark,7255,,flinders.island.district.high@education.tas.gov.au,,https://flindersislanddistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.11254151,148.03486284,true,false
government,Lilydale District School,Lilydale,7268,,lilydale.district.school@education.tas.gov.au,https://lilydale.education.tas.edu.au/site-search,https://lilydale.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.25251745,147.21598294,true,false
government,Ravenswood Heights Primary School,Ravenswood,7250,,ravenswood.heights.primary@education.tas.gov.au,,https://ravenswoodheightsprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.41878768,147.17536832,true,false
government,Scottsdale High School,Scottsdale,7260,,scottsdale.high.admin.staff@decyp.tas.gov.au,https://scottsdalehigh.education.tas.edu.au/site-search,https://scottsdalehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.1546,147.51,true,false
government,Parklands High School,Romaine,7320,,,https://parklandshigh.education.tas.edu.au/site-search,https://parklandshigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.07905504,145.90176001,true,true
government,Reece High School,Devonport,7310,,reece.high@decyp.tas.gov.au,https://reecehigh.education.tas.edu.au/site-search,https://reecehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.189,146.352,true,false
government,Ulverstone Secondary College,Ulverstone,7315,,ulverstone.secondary.college@decyp.tas.gov.au,,https://ulverstonesc.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.16325954,146.17082335,true,false
government,Wynyard High School,Wynyard,7325,,wynyard.high@education.tas.gov.au,https://wynyardhigh.education.tas.edu.au/site-search,https://wynyardhigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.98627358,145.71764283,true,false
government,Cosgrove High School,Glenorchy,7010,,learning.services.s@education.tas.gov.au,https://cosgrovehigh.education.tas.edu.au/site-search,https://cosgrovehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.83650615,147.28318696,true,false
government,Dover District School,Dover,7117,,dover.district.school@decyp.tas.gov.au,https://doverdistrict.education.tas.edu.au/site-search,https://doverdistrict.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.31008295,147.01303372,true,false
government,Geeveston Primary School,Geeveston,7116,,geeveston.primary@education.tas.gov.au,https://geevestonprimary.education.tas.edu.au/site-search,https://geevestonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.16224412,146.92212626,true,false
government,Huonville High School,Huonville,7109,,huonvillehigh-supportstaff@education.tas.gov.au,https://huonvillehigh.education.tas.edu.au/site-search,https://huonvillehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.02374508,147.04694878,true,false
government,Bayview Secondary College,Rokeby,7019,,bayview.secondary.college@education.tas.gov.au,https://bayviewsc.education.tas.edu.au/contact-us/,https://bayviewsc.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.89719843,147.44500423,true,false
government,Bothwell District High School,Bothwell,7030,,bothwell.district.high@education.tas.gov.au,https://bothwelldistricthigh.education.tas.edu.au/site-search,https://bothwelldistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.38402831,147.01571956,true,false
government,Deloraine High School,Deloraine,7304,,,,https://delorainehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.52974888,146.66018027,true,true
government,Glenora District School,Glenora,7140,,,https://glenoradistrictschool.education.tas.edu.au/site-search,https://glenoradistrictschool.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.69690112,146.88944893,true,true
government,New Norfolk High School,New Norfolk,7140,,new.norfolk.high@education.tas.gov.au,https://newnorfolkhigh.education.tas.edu.au/site-search,https://newnorfolkhigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.78854201,147.06123199,true,false
government,Oatlands District High School,Oatlands,7120,,oatlands.district.high@education.tas.gov.au,https://oatlandsdistricthigh.education.tas.edu.au/site-search,https://oatlandsdistricthigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.30055552,147.37080165,true,false
government,Rosebery District School,Rosebery,7470,,rosebery.district@education.tas.gov.au,,https://roseberydistrict.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.77912684,145.54247225,true,false
